
set_id,question_number,question,option_a,option_b,option_c,option_d,correct,explanation,domain,objective,difficulty
1,13,Which subscription offers IP indemnity and contractual protection?,Free,Pro,Pro+,Enterprise,D,Enterprise provides contractual protection and IP indemnity for commercial use.,GitHub Copilot plans and features,Explain the differences between Copilot plans,Hard
1,14,Which tier includes ability to access Copilot features on GitHub.com pull requests?,Pro,Pro+,Enterprise,Free,C,Enterprise subscribers can use Copilot chat for pull request summaries on GitHub.com.,GitHub Copilot plans and features,Explain the differences between Copilot plans,Hard
1,15,Which subscription offers centralised policy management tools for teams?,Free,Pro,Pro+,Business,D,The Business plan provides administrators with central policy management and content filters.,GitHub Copilot plans and features,Explain the differences between Copilot plans,Medium
1,16,Which plan provides policy management with duplication detection and filter settings?,Business,Free,Pro,Pro+,A,Business lets administrators enable duplication detection and configure content filters.,GitHub Copilot plans and features,Identify main features with GitHub Copilot,Medium
1,17,"Which plan provides best suited for large enterprises needing compliance, support and integration?",Enterprise,Free,Pro,Pro+,A,"Enterprise is designed for large organisations requiring compliance, support and integration.",GitHub Copilot plans and features,Identify different GitHub Copilot plans,Hard
1,18,Which tier includes advanced models plus early access to new features?,Pro,Business,Pro+,Free,C,Pro+ subscribers often receive early access to new Copilot features and models.,GitHub Copilot plans and features,Identify main features with GitHub Copilot,Medium
1,19,Which plan provides central policy management across multiple repositories?,Business,Free,Pro,Pro+,A,Business allows admins to manage policy settings across many repositories.,GitHub Copilot plans and features,Explain the differences between Copilot plans,Medium
1,20,Which plan provides support for interactive slash commands in chat?,All,Free,Pro,Pro+,A,"Slash commands like /explain, /tests and /summarize are available across plans.",GitHub Copilot plans and features,Describe different ways to trigger GitHub Copilot,Easy
1,21,Which subscription offers a plan that includes early feature previews and enhanced semantic search?,Free,Pro,Business,Pro+,D,Pro+ often grants access to preview features and improved search capabilities.,GitHub Copilot plans and features,Identify main features with GitHub Copilot,Medium
1,22,Which Copilot plan grants the slash command used to summarise selected code?,/refactor,/summarize,/explain,/tests,B,The /summarize command generates a concise summary of the selected code block.,GitHub Copilot plans and features,Describe the different ways to trigger GitHub Copilot Chat,Easy
1,23,Which tier includes the highest number of knowledge bases and unlimited chat?,Pro,Pro+,Enterprise,Free,C,Enterprise offers the largest allotment of knowledge bases and unlimited chat.,GitHub Copilot plans and features,Identify main features with GitHub Copilot,Hard
1,24,"Which subscription offers dedicated support, SAML SSO and enterprise‑level controls?",Free,Pro,Pro+,Enterprise,D,Enterprise subscriptions include SAML single sign‑on and dedicated support.,GitHub Copilot plans and features,Explain the differences between Copilot plans,Hard
1,25,Which Copilot plan grants central policy management across multiple repositories?,Pro+,Business,Free,Pro,B,Business allows admins to manage policy settings across many repositories.,GitHub Copilot plans and features,Explain the differences between Copilot plans,Medium
1,26,Which plan provides advanced models plus early access to new features?,Pro+,Free,Pro,Business,A,Pro+ subscribers often receive early access to new Copilot features and models.,GitHub Copilot plans and features,Identify main features with GitHub Copilot,Medium
1,27,Which subscription offers which plan includes pull request summaries on GitHub.com?,Free,Pro,Pro+,Enterprise,D,Copilot Enterprise generates pull request summaries directly on GitHub.com.,GitHub Copilot plans and features,Identify the main features with GitHub Copilot Enterprise,Hard
1,28,"Which Copilot plan grants best suited for large enterprises needing compliance, support and integration?",Pro+,Enterprise,Free,Pro,B,"Enterprise is designed for large organisations requiring compliance, support and integration.",GitHub Copilot plans and features,Identify different GitHub Copilot plans,Hard
1,29,Which tier includes which plan includes advanced semantic search within knowledge bases?,Pro,Business,Pro+,Free,C,"Pro+ offers advanced semantic search capabilities within knowledge bases, improving retrieval of relevant code snippets.",GitHub Copilot plans and features,Describe the different types of knowledge that can be stored in a Knowledge Base,Medium
1,30,Which Copilot plan grants policy management with duplication detection and filter settings?,Pro+,Business,Free,Pro,B,Business lets administrators enable duplication detection and configure content filters.,GitHub Copilot plans and features,Identify main features with GitHub Copilot,Medium
1,31,Which Copilot plan grants which plan includes pull request summaries on GitHub.com?,Pro+,Enterprise,Free,Pro,B,Copilot Enterprise generates pull request summaries directly on GitHub.com.,GitHub Copilot plans and features,Identify the main features with GitHub Copilot Enterprise,Hard
1,32,Which Copilot plan grants knowledge bases enabling teams to store best practices and code snippets?,Business,Pro+,Free,Pro,B,Pro+ allows users to create knowledge bases to centralise code snippets and guidelines.,GitHub Copilot plans and features,Identify main features with GitHub Copilot,Medium
1,33,Which Copilot plan grants which plan allows organisation‑wide policy management via the REST API?,Pro+,Business,Free,Pro,B,Business plans support configuring Copilot policies via REST API calls for automation.,GitHub Copilot plans and features,Explain how to manage GitHub Copilot Business subscriptions via the REST API,Hard
1,34,Which Copilot plan grants the slash command that explains selected code?,/refactor,/explain,/summarize,/tests,B,The /explain command in Copilot Chat provides an explanation of the highlighted code.,GitHub Copilot plans and features,Describe the different ways to trigger GitHub Copilot Chat,Easy
1,35,Which plan provides a common Copilot CLI command to explain code?,gh copilot explain,gh copilot suggest,gh copilot tests,gh copilot refactor,A,The `gh copilot explain` command explains selected code in natural language.,GitHub Copilot plans and features,Identify the common commands when using GitHub Copilot in the CLI,Medium
1,36,Which Copilot plan grants ability to access Copilot features on GitHub.com pull requests?,Pro+,Enterprise,Free,Pro,B,Enterprise subscribers can use Copilot chat for pull request summaries on GitHub.com.,GitHub Copilot plans and features,Explain the differences between Copilot plans,Hard
1,37,Which Copilot plan grants how to share feedback about GitHub Copilot Chat?,Ignoring prompt structure,Using the feedback mechanism built into the chat interface,Running code directly in Chat,Asking for extremely long answers,B,Users can send feedback about Copilot Chat through the feedback button in the chat interface.,GitHub Copilot plans and features,Explain how to share feedback about GitHub Copilot Chat,Easy
1,38,Which plan provides no cost for students and open‑source contributors?,Free,Pro,Pro+,Business,A,Students and open‑source contributors can access Copilot at no cost via the Free tier.,GitHub Copilot plans and features,Identify different GitHub Copilot plans,Easy
1,39,Explain the technique that uses code before and after a gap to generate suggestions?,Role prompting,Fill‑in‑the‑middle (FIM),Chain prompting,Zero‑shot prompting,B,Fill‑in‑the‑middle uses surrounding code context to generate the missing section.,How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Medium
1,40,Explain what happens when the toxicity filter flags a suggestion?,It disables the user’s account,The model regenerates a safer response,It ignores the flag and returns the output,It stores the prompt for training,B,"If a suggestion triggers the toxicity filter, Copilot tries again to produce a safe output.",How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Medium
1,41,What is the technique that uses code before and after a gap to generate suggestions?,Chain prompting,Zero‑shot prompting,Role prompting,Fill‑in‑the‑middle (FIM),D,Fill‑in‑the‑middle uses surrounding code context to generate the missing section.,How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Medium
1,42,Identify how long Copilot Chat messages may be retained by default?,They are kept indefinitely,They are kept for 90 days,Up to 28 days,They are not retained,C,Chat messages can be stored for up to 28 days for quality and debugging unless opt‑out settings apply.,How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Hard
1,43,What is the role of the Azure proxy in Copilot’s pipeline?,To compile user code,To run tests,To update dependencies,To route requests securely and apply policy controls,D,The proxy service securely forwards prompts to the model host and enforces policies.,How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Medium
1,44,What is how long Copilot Chat messages may be retained by default?,They are not retained,They are kept indefinitely,They are kept for 90 days,Up to 28 days,D,Chat messages can be stored for up to 28 days for quality and debugging unless opt‑out settings apply.,How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Medium
1,45,Identify how long inline completion prompts are retained?,They are kept for one year,They are kept for 90 days,They are not retained,They are stored indefinitely,C,Inline completions are transient and are not stored after processing.,How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Hard
1,46,Identify how Copilot determines context from active tabs?,By reading the entire repository history,By ignoring all open files,By analysing open files and filenames,By only analysing the current line,C,Copilot considers active tabs and filenames to tailor suggestions.,How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Hard
1,47,What is the first step when a user sends a prompt in the Copilot pipeline?,Running toxicity filters,Applying the public code match filter,Generating the final code,Secure transmission of the prompt to the service,D,Prompts are securely sent to the Copilot service before any processing occurs.,How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Medium
1,48,Which statement best describes the role of the Azure proxy in Copilot’s pipeline?,To route requests securely and apply policy controls,To compile user code,To run tests,To update dependencies,A,The proxy service securely forwards prompts to the model host and enforces policies.,How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Hard
1,49,Identify how the prevalence of examples in training data can influence code suggestions?,Option 2,Option 3,Suggestions may reflect the most common patterns seen during training,Option 1,C,"Copilot tends to reproduce popular code patterns from the training data, which can bias suggestions toward frequently seen examples.",How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Hard
1,50,Identify what happens when the toxicity filter flags a suggestion?,It stores the prompt for training,It disables the user’s account,The model regenerates a safer response,It ignores the flag and returns the output,C,"If a suggestion triggers the toxicity filter, Copilot tries again to produce a safe output.",How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Hard
1,51,Which statement best describes what the feedback loop in Copilot’s service achieves?,Continuous improvement of models based on user interactions,Slowing down performance,Automatically deploying code,Storing code indefinitely,A,Feedback from users and automated checks helps improve model performance and reduce harmful outputs.,How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Hard
1,52,Explain the role of the Azure proxy in Copilot’s pipeline?,To update dependencies,To route requests securely and apply policy controls,To compile user code,To run tests,B,The proxy service securely forwards prompts to the model host and enforces policies.,How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Medium
1,53,Explain how prompts are transmitted to the model host?,Through a developer’s IDE without any controls,Via a proxy service that applies filters,Directly to the model without filters,Over email,B,Prompts are sent through an Azure proxy that enforces policy and applies filters.,How GitHub Copilot works and handles data,Explain how data flows through Copilot and how data is handled,Medium
1,54,Identify prompt process flow in Copilot?,Skipping context gathering entirely,Running unit tests before prompting,"Context gathering, prompt construction and post‑processing",Only sending the prompt to the model,C,"The prompt process includes gathering context, forming the prompt and post‑processing the model’s response.",Prompt Crafting and Prompt Engineering,Describe the prompt process flow,Hard
1,55,What is the key components of a good prompt?,Incorrect,Wrong,Not applicable,"Context, clear instructions, examples and desired format",D,"A strong prompt includes relevant context, explicit instructions, optional examples and the desired output format.",Prompt Crafting and Prompt Engineering,Describe the different parts of a prompt,Hard
1,56,Explain the four S’s guideline for writing effective prompts?,"Multiple, Vague, Verbose and Solo","Single, Specific, Short and Surround","Long, Complex, Ambiguous and Hidden","Sequential, Silent, Sparse and Separate",B,"Effective prompts are single‑tasked, specific in detail, short in length and surrounded by context.",Prompt Crafting and Prompt Engineering,Describe the fundamentals of prompt crafting,Medium
1,57,Identify the difference between one‑shot and few‑shot prompting?,Few‑shot prompting omits examples,Few‑shot prompting reduces context,One‑shot uses a single example while few‑shot uses several examples,Zero‑shot prompting relies on multiple examples,C,"One‑shot prompting provides one example input–output pair, whereas few‑shot prompting includes multiple examples to better guide the model.",Prompt Crafting and Prompt Engineering,Describe the difference between zero-shot and few-shot prompting,Medium
1,58,Identify why avoiding ambiguous or vague prompts is important?,Wrong,Not applicable,Ambiguous prompts produce unpredictable or irrelevant results,Incorrect,C,"Vague prompts lack enough detail for the model to generate accurate outputs, leading to inconsistent results.",Prompt Crafting and Prompt Engineering,Identify prompt crafting best practices,Medium
1,59,What is why avoiding ambiguous or vague prompts is important?,Incorrect,Wrong,Not applicable,Ambiguous prompts produce unpredictable or irrelevant results,D,"Vague prompts lack enough detail for the model to generate accurate outputs, leading to inconsistent results.",Prompt Crafting and Prompt Engineering,Identify prompt crafting best practices,Medium
1,60,Explain prompt process flow in Copilot?,Running unit tests before prompting,"Context gathering, prompt construction and post‑processing",Only sending the prompt to the model,Skipping context gathering entirely,B,"The prompt process includes gathering context, forming the prompt and post‑processing the model’s response.",Prompt Crafting and Prompt Engineering,Describe the prompt process flow,Hard
1,61,Explain why specificity is important in prompts?,Specificity hides requirements,It reduces ambiguity and yields accurate answers,Ambiguity helps creativity,Specificity makes prompts longer,B,Specific prompts lead to more relevant and accurate outputs because the model has clear guidance.,Prompt Crafting and Prompt Engineering,Describe the fundamentals of prompt crafting,Easy
1,62,Which of the following describes what role prompting refers to?,Assigning a role or persona in the prompt,Refusing to provide any role,Randomly selecting a programming language,Discarding chat history,A,"Role prompting specifies the perspective or persona the model should assume, such as acting as a senior engineer.",Prompt Crafting and Prompt Engineering,Explain prompt engineering principles,Medium
1,63,What is How Copilot assists in pull request workflows?,It prevents collaboration,It deletes code,By summarising changes and suggesting improvements,It slows down development,C,"Copilot can summarise diffs, suggest improvements and craft pull request descriptions.",Developer use cases for AI,Describe how AI can improve developer productivity,Medium
1,64,Which statement describes How Copilot assists with planning architecture or design decisions?,By generating scaffolds and suggesting patterns,It slows down development,It prevents collaboration,It deletes code,A,Copilot can offer architectural scaffolding and design pattern suggestions during planning.,Developer use cases for AI,Discuss how GitHub Copilot can help with SDLC management,Hard
1,65,How does How Copilot aids in data science tasks?,It slows down development,It prevents collaboration,It deletes code,By helping write data processing and analysis code,D,"Copilot can assist in writing Python and SQL code for data processing, analysis and visualisation.",Developer use cases for AI,Describe how AI can improve developer productivity,Medium
1,66,How does How personalised completions work?,It slows down development,It prevents collaboration,It deletes code,Copilot adapts suggestions to a developer’s coding style,D,Personalised completions tailor suggestions based on the developer’s patterns and codebase.,Developer use cases for AI,Describe how AI can improve developer productivity,Medium
1,67,What is How Copilot supports code refactoring?,It prevents collaboration,It deletes code,By suggesting improved code structure,It slows down development,C,"Copilot suggests refactoring to improve readability, maintainability and performance.",Developer use cases for AI,Describe how AI can improve developer productivity,Medium
1,68,Which statement describes How Copilot assists with debugging?,By identifying errors and proposing fixes,It slows down development,It prevents collaboration,It deletes code,A,Copilot can help pinpoint errors and suggest fixes or alternative implementations.,Developer use cases for AI,Describe how AI can improve developer productivity,Medium
1,69,Identify how How Copilot aids in data science tasks?,It deletes code,By helping write data processing and analysis code,It slows down development,It prevents collaboration,B,"Copilot can assist in writing Python and SQL code for data processing, analysis and visualisation.",Developer use cases for AI,Describe how AI can improve developer productivity,Medium
1,70,Identify how What story‑driven development refers to?,It deletes code,Writing tests first and allowing AI to build code that satisfies them,It slows down development,It prevents collaboration,B,Story‑driven development involves creating narratives or tests first and using AI to generate satisfying code.,Developer use cases for AI,Describe how AI can improve developer productivity,Hard
1,71,How does How GitHub Copilot can help developers learn new programming languages?,It slows down development,It prevents collaboration,It deletes code,By providing examples and explanations in context,D,"Copilot offers contextual examples and explanations, aiding the learning of unfamiliar languages.",Developer use cases for AI,Describe how AI can improve developer productivity,Easy
1,72,Identify how How Copilot assists with planning architecture or design decisions?,It deletes code,By generating scaffolds and suggesting patterns,It slows down development,It prevents collaboration,B,Copilot can offer architectural scaffolding and design pattern suggestions during planning.,Developer use cases for AI,Discuss how GitHub Copilot can help with SDLC management,Hard
1,73,How does How Copilot supports team collaboration?,It slows down development,It prevents collaboration,It deletes code,Through shared knowledge bases and chat,D,Shared knowledge bases and collaborative chat enable teams to align on patterns and best practices.,Developer use cases for AI,Describe how AI can improve developer productivity,Medium
1,74,How does What are some limitations of using Copilot?,It slows down development,It prevents collaboration,It deletes code,It may produce outdated or insecure code and requires human review,D,Copilot suggestions should be reviewed for accuracy and security because the model may produce outdated or unsafe code.,Developer use cases for AI,Describe the limitations of using GitHub Copilot,Hard
1,75,Identify how How Copilot summarises existing code for onboarding?,It deletes code,By producing concise descriptions of functions and modules,It slows down development,It prevents collaboration,B,Copilot can summarise code blocks to help new developers understand existing projects.,Developer use cases for AI,Describe how AI can improve developer productivity,Medium
1,76,Which statement describes How Copilot supports team collaboration?,Through shared knowledge bases and chat,It slows down development,It prevents collaboration,It deletes code,A,Shared knowledge bases and collaborative chat enable teams to align on patterns and best practices.,Developer use cases for AI,Describe how AI can improve developer productivity,Medium
1,77,Which statement best explains What duplication detection does for tests?,Prevents generating code that matches existing public code,It deletes tests,It ignores test frameworks,It increases bugs,A,Duplication detection helps avoid suggesting tests that replicate public code verbatim.,Testing with GitHub Copilot,Describe options for generating testing for your code,Medium
1,78,How does How Copilot Chat can help fix failing tests?,It deletes tests,It ignores test frameworks,It increases bugs,By analysing test failures and suggesting code changes,D,Copilot Chat can review failing test output and recommend modifications to code or tests to resolve the issue.,Testing with GitHub Copilot,Describe options for generating testing for your code,Medium
1,79,Identify How Copilot can generate unit tests?,It increases bugs,By analysing functions and creating test cases automatically,It deletes tests,It ignores test frameworks,B,Copilot can examine function signatures and create corresponding unit tests using the project’s test framework.,Testing with GitHub Copilot,Describe options for generating testing for your code,Medium
1,80,How does How Copilot can generate unit tests?,It deletes tests,It ignores test frameworks,It increases bugs,By analysing functions and creating test cases automatically,D,Copilot can examine function signatures and create corresponding unit tests using the project’s test framework.,Testing with GitHub Copilot,Describe options for generating testing for your code,Medium
1,81,Which statement best explains How to improve existing tests using Copilot?,Ask Copilot to suggest additional assertions or scenarios,It deletes tests,It ignores test frameworks,It increases bugs,A,Developers can request Copilot to enhance tests by adding assertions or covering more scenarios.,Testing with GitHub Copilot,Enhance code quality through testing,Medium
1,82,What is What TDD (test‑driven development) means when using Copilot?,It ignores test frameworks,It increases bugs,Writing tests first and letting Copilot generate code that passes them,It deletes tests,C,"With TDD, developers write tests first and use Copilot to generate code that satisfies them.",Testing with GitHub Copilot,Describe options for generating testing for your code,Hard
1,83,How does Why you might customise the test framework when using Copilot?,It deletes tests,It ignores test frameworks,It increases bugs,To align generated tests with your project’s preferred framework,D,"Customising the test framework ensures generated tests follow the correct style (e.g., pytest vs. unittest).",Testing with GitHub Copilot,Describe options for generating testing for your code,Medium
1,84,What is Why you might choose different test frameworks per language when using Copilot?,It ignores test frameworks,It increases bugs,To match idiomatic patterns in each ecosystem,It deletes tests,C,Selecting pytest for Python or Mocha for JavaScript ensures generated tests follow idiomatic patterns and integrate with existing tooling.,Testing with GitHub Copilot,Describe options for generating testing for your code,Medium
1,85,Which statement best explains How Copilot can help identify edge cases?,By suggesting additional test scenarios,It deletes tests,It ignores test frameworks,It increases bugs,A,Copilot analyses code and points out potential edge cases that require additional tests.,Testing with GitHub Copilot,Describe options for generating testing for your code,Hard
1,86,Which statement best describes what to do if suggestions are not showing for some files?,Check context exclusions and editor configuration,It increases performance,It duplicates code intentionally,It stores data indefinitely,A,"If suggestions are missing, verify that the files aren’t excluded and the editor plugin is configured correctly.",Privacy fundamentals and context exclusions,Explain steps for context exclusions in code editors,Easy
1,87,What is how duplication detection can be configured?,It increases performance,It duplicates code intentionally,It stores data indefinitely,It can be enabled or disabled by administrators,D,Admins can turn duplication detection on or off depending on their risk tolerance.,Privacy fundamentals and context exclusions,Describe safeguards,Medium
1,88,Which statement best describes how Copilot can suggest optimisations for performance?,By recommending more efficient algorithms or data structures,It increases performance,It duplicates code intentionally,It stores data indefinitely,A,Copilot analyses code and proposes optimisations to improve performance and efficiency.,Privacy fundamentals and context exclusions,Describe how GitHub Copilot can suggest code optimisations for improved performance,Medium
1,89,Explain what duplication detector filter does?,It stores data indefinitely,Checks suggestions against public code and flags duplicates,It increases performance,It duplicates code intentionally,B,The duplication detector compares outputs against public repositories to prevent copying public code verbatim.,Privacy fundamentals and context exclusions,Describe safeguards,Medium
1,90,Explain the purpose of context exclusion settings?,It stores data indefinitely,To prevent specific files or patterns from being sent to the model,It increases performance,It duplicates code intentionally,B,Context exclusions allow administrators to block certain files or patterns from being included in prompts sent to Copilot.,Privacy fundamentals and context exclusions,Describe how to configure content exclusions,Medium
1,91,Explain how to enable or disable prompt and suggestion collection?,It stores data indefinitely,By changing settings in Copilot configuration,It increases performance,It duplicates code intentionally,B,Users or admins can opt out of prompt and suggestion collection via configuration settings.,Privacy fundamentals and context exclusions,Describe safeguards,Easy
1,92,Which statement best describes what to do when Copilot suggestions are absent or not ideal?,Check context exclusions and plugin configuration,It increases performance,It duplicates code intentionally,It stores data indefinitely,A,"If suggestions are missing or poor, verify that context exclusions are not blocking relevant files and ensure the editor extension is updated and configured correctly.",Privacy fundamentals and context exclusions,Explain steps for context exclusions in code editors,Easy
1,93,What is how to enable or disable duplication detection and prompt/suggestion collection?,It increases performance,It duplicates code intentionally,It stores data indefinitely,By toggling settings in Copilot configuration on GitHub.com,D,Administrators can enable or disable duplication detection and prompt/suggestion collection through Copilot settings on GitHub.com.,Privacy fundamentals and context exclusions,Explain how to configure GitHub Copilot settings on GitHub.com,Medium
1,94,Which statement best describes how Copilot Chat and completion data retention differs?,Chat data may be stored temporarily whereas completions are transient,It increases performance,It duplicates code intentionally,It stores data indefinitely,A,"Chat messages can be retained for quality and debugging, whereas inline completions are not stored.",Privacy fundamentals and context exclusions,Describe privacy fundamentals,Medium
1,95,What is what duplication detector filter does?,It increases performance,It duplicates code intentionally,It stores data indefinitely,Checks suggestions against public code and flags duplicates,D,The duplication detector compares outputs against public repositories to prevent copying public code verbatim.,Privacy fundamentals and context exclusions,Describe safeguards,Medium
1,96,What is how to enable or disable prompt and suggestion collection?,It increases performance,It duplicates code intentionally,It stores data indefinitely,By changing settings in Copilot configuration,D,Users or admins can opt out of prompt and suggestion collection via configuration settings.,Privacy fundamentals and context exclusions,Describe safeguards,Easy
1,97,Identify the difference between repository‑level and organisation‑level content exclusions?,It duplicates code intentionally,It stores data indefinitely,Organisation‑level settings apply across all repositories,It increases performance,C,"Organisation‑level exclusions affect all repositories, whereas repository settings only affect a single repository.",Privacy fundamentals and context exclusions,Explain the effects of content exclusions,Medium
1,98,What is best practice for configuring exclusions?,It increases performance,It duplicates code intentionally,It stores data indefinitely,Exclude secrets and sensitive data but avoid over‑broad patterns,D,Admins should exclude credentials and sensitive code while avoiding patterns that block too much context and reduce suggestion quality.,Privacy fundamentals and context exclusions,Describe how to configure content exclusions,Medium
1,99,Which statement best describes how Copilot can learn from existing tests to suggest improvements?,By analysing existing tests and identifying gaps or enhancements,It increases performance,It duplicates code intentionally,It stores data indefinitely,A,Copilot analyses existing tests to suggest additional assertions or scenarios to improve coverage.,Privacy fundamentals and context exclusions,Describe how to improve the effectiveness of existing tests with GitHub Copilot’s suggestions,Medium
1,100,Identify what to do when Copilot suggestions are absent or not ideal?,It duplicates code intentionally,It stores data indefinitely,Check context exclusions and plugin configuration,It increases performance,C,"If suggestions are missing or poor, verify that context exclusions are not blocking relevant files and ensure the editor extension is updated and configured correctly.",Privacy fundamentals and context exclusions,Explain steps for context exclusions in code editors,Easy
2,1,Which principle promotes designing AI for users with disabilities and under‑represented groups?,Fairness,Reliability and safety,Privacy and security,Inclusiveness,D,Inclusiveness encourages input from diverse backgrounds and ensures accessibility.,Responsible AI,Explain responsible usage of AI,Easy
2,2,Which principle calls for testing AI systems under various conditions to prevent harm?,Inclusiveness,Reliability and safety,Fairness,Privacy and security,B,Reliability and safety includes stress testing and validation to minimise harm.,Responsible AI,Explain responsible usage of AI,Medium
2,3,Which principle deals with achieving equal outcomes by balancing data and removing biases?,Privacy and security,Inclusiveness,Fairness,Reliability and safety,C,Fairness guides practitioners to address bias through balanced datasets and adversarial debiasing.,Responsible AI,Explain responsible usage of AI,Easy
2,4,Which principle requires mitigation of AI risks through ethical oversight and compliance governance?,Privacy and security,Accountability,Fairness,Reliability and safety,B,"Accountability requires monitoring, governance and human control over AI systems.",Responsible AI,Explain responsible usage of AI,Medium
2,5,Which principle emphasises designing systems to work reliably even when unexpected inputs occur?,Fairness,Privacy and security,Inclusiveness,Reliability and safety,D,Reliability and safety includes robustness against manipulation and unexpected inputs.,Responsible AI,Explain responsible usage of AI,Medium
2,6,Which responsible AI principle promotes transparency about how AI systems make decisions?,Transparency,Fairness,Reliability and safety,Privacy and security,A,"Transparency involves explaining how models operate, documenting design choices and enabling auditability.",Responsible AI,Explain responsible usage of AI,Medium
2,7,Which responsible AI principle emphasises protecting sensitive data and respecting user privacy?,Reliability and safety,Inclusiveness,Privacy and security,Fairness,C,"The privacy and security principle requires encryption, consent and access controls to safeguard data.",Responsible AI,Explain responsible usage of AI,Medium
2,8,Which tier includes support for interactive slash commands in chat?,Pro,Pro+,All,Free,C,"Slash commands like /explain, /tests and /summarize are available across plans.",GitHub Copilot plans and features,Describe different ways to trigger GitHub Copilot,Easy
2,9,Which tier includes the slash command that generates unit tests for the selected code?,/summarize,/refactor,/tests,/explain,C,The /tests command instructs Copilot Chat to generate unit tests for the chosen code section.,GitHub Copilot plans and features,Describe different ways to trigger GitHub Copilot Chat,Medium
2,10,Which subscription offers centralised management for small teams with unlimited chat?,Free,Pro,Pro+,Business,D,The Business plan is ideal for small teams needing central management and unlimited chat.,GitHub Copilot plans and features,Explain the differences between Copilot plans,Medium
2,11,Which tier includes which plan allows creating knowledge bases and indexing company documentation?,Pro,Pro+,Enterprise,Free,C,Knowledge bases in Copilot Enterprise let organisations store best practices and index internal documentation.,GitHub Copilot plans and features,Explain how to configure and use Knowledge Bases within GitHub Copilot Enterprise,Hard
